anime_id,Name,Season,Type,Rank,Episodes,Year,Start_date,Score,Rating,Popularity
1,Cowboy Bebop,Spring,TV,27.0,26,1998,1998-04-03,8.81,R - 17+ (violence & profanity),38
5,Cowboy Bebop: The Movie,,Movie,157.0,1,2001,2001-09-01,8.41,R - 17+ (violence & profanity),438
6,Trigun,Spring,TV,234.0,26,1998,1998-04-01,8.31,PG-13 - Teens 13 or older,138
7,Witch Hunter Robin,Summer,TV,2292.0,26,2002,2002-07-02,7.34,PG-13 - Teens 13 or older,1104
8,Beet the Vandel Buster,Fall,TV,3400.0,52,2004,2004-09-30,7.04,PG - Children,3495
15,Eyeshield 21,Spring,TV,487.0,145,2005,2005-04-06,8.05,PG-13 - Teens 13 or older,812
16,Honey and Clover,Spring,TV,382.0,24,2005,2005-04-15,8.14,PG-13 - Teens 13 or older,500
17,Hungry Heart: Wild Striker,Fall,TV,1130.0,52,2002,2002-09-11,7.69,PG-13 - Teens 13 or older,2967
18,Initial D Fourth Stage,Spring,TV,276.0,24,2004,2004-04-17,8.24,PG-13 - Teens 13 or older,1261
19,Monster,Spring,TV,49.0,74,2004,2004-04-07,8.69,R - 18,152
20,Naruto,Fall,TV,745.0,220,2002,2002-10-03,7.88,PG-13 - Teens 13 or older,10
21,One Piece,Fall,TV,91.0,0,1999,1999-10-20,8.54,PG-13 - Teens 13 or older,35
22,The Prince of Tennis,Fall,TV,550.0,178,2001,2001-10-10,8.01,PG-13 - Teens 13 or older,806
23,Ring ni Kakero 1,Fall,TV,5263.0,12,2004,2004-10-06,6.59,PG - Children,6186
24,School Rumble,Fall,TV,537.0,26,2004,2004-10-05,8.02,PG-13 - Teens 13 or older,347
25,Desert Punk,Fall,TV,1586.0,24,2004,2004-10-06,7.52,R - 17+ (violence & profanity),1008
26,Texhnolyze,Spring,TV,932.0,22,2003,2003-04-17,7.78,R - 18,661
27,Trinity Blood,Spring,TV,1998.0,24,2005,2005-04-29,7.41,R - 17+ (violence & profanity),638
28,Yakitate!! Japan,Fall,TV,540.0,69,2004,2004-10-12,8.02,PG-13 - Teens 13 or older,1301
29,Zipang,Fall,TV,1546.0,26,2004,2004-10-08,7.54,PG-13 - Teens 13 or older,3432
30,Neon Genesis Evangelion,Fall,TV,223.0,26,1995,1995-10-04,8.32,PG-13 - Teens 13 or older,48
31,Neon Genesis Evangelion: Death & Rebirth,,Movie,1639.0,1,1997,1997-03-15,7.5,R - 17+ (violence & profanity),699
32,Neon Genesis Evangelion: The End of Evangelion,,Movie,113.0,1,1997,1997-07-19,8.48,R - 18,216
33,Berserk,Fall,TV,132.0,25,1997,1997-10-08,8.45,R - 18,210
