prob_like,tot,anime_id
11724,15509,1
4715,6927,5
7460,11077,6
1149,2629,7
130,413,8
1513,2424,15
2575,3890,16
355,650,17
1167,1911,18
3600,4594,19
13717,25925,20
1588,2712,22
11,49,23
4407,7153,24
1105,2329,25
907,1625,26
2218,4835,27
1040,1648,28
115,227,29
11354,17686,30
2296,5530,31
6491,10273,32
4821,7143,33
5597,8945,43
4206,5729,44
5337,7900,45
854,1954,46
5825,9748,47
1722,4369,48
749,1942,49
2001,4530,50
608,2353,51
737,1946,52
1216,3054,53
1135,3111,54
85,398,55
82,480,56
4043,5749,57
559,1562,58
6068,12415,59
3407,6259,60
2629,6149,61
648,2084,62
1520,4978,63
2795,5824,64
2044,4008,65
4127,6702,66
1900,3655,67
2811,6072,68
42,178,69
6426,11495,71
5917,9235,72
4942,8098,73
1140,2262,74
337,783,75
1102,2406,76
1232,2031,77
3195,7112,79
872,1712,80
918,1489,81
487,995,82
117,420,83
444,978,84
579,1040,85
158,602,86
486,902,87
175,601,88
111,354,89
2181,4022,90
776,1504,91
269,666,92
2565,4392,93
1558,3245,94
230,489,95
765,1639,96
2227,3799,97
1716,3506,98
837,1938,99
692,1745,100
4326,8820,101
1362,2995,102
111,253,103
689,1656,104
143,609,105
489,958,106
391,985,107
173,471,108
652,2094,109
148,325,110
74,319,111
25,212,112
287,622,113
1255,2054,114
80,323,115
121,424,116
189,438,117
69,283,118
356,1419,119
5921,11130,120
16904,25032,121
1193,2103,122
1196,2425,123
225,674,124
318,1220,125
326,917,126
191,605,127
96,361,128
545,1140,129
294,732,130
194,493,131
1430,2725,132
1268,4778,133
1973,4071,134
1549,2398,135
3792,5626,136
1790,2788,137
1870,2991,138
1872,2888,139
58,314,141
587,1495,142
658,1841,143
648,1653,144
1555,3079,145
727,2141,146
1981,4164,147
44,166,148
1769,4412,149
4161,7496,150
141,338,151
297,694,152
1150,1852,153
3906,7814,154
409,1388,155
1080,2191,156
1279,3541,157
455,1032,158
112,457,159
820,1475,160
672,1559,161
250,685,162
38,219,163
11816,16303,164
1180,2399,165
1630,3347,166
1021,2190,167
1022,2425,168
1680,4170,169
1932,2711,170
10,52,171
366,904,173
1861,5150,174
217,768,175
32,204,176
2714,5465,177
